address,account_number,bill_date,billing_period_start,billing_period_end,fresh_water_usage,waste_water_usage,fresh_water_rate,fresh_water_fixed_charge,waste_water_rate,waste_water_fixed_charge,latest_charges
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,01-01-2019,03-07-2018,01-01-2019,97,97,2.47,31.0,1.54,65.0,487.3
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,03-07-2019,02-01-2019,03-07-2019,120,120,2.47,31.0,1.54,65.0,579.49
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,02-01-2020,04-07-2019,02-01-2020,97,97,2.47,31.0,1.54,65.0,488.18
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,02-07-2018,01-01-2018,02-07-2018,111,111,2.47,31.0,1.54,65.0,544.28
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,01-01-2019,03-07-2018,01-01-2019,133,133,2.47,31.0,1.54,65.0,632.74
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,03-07-2019,02-01-2019,03-07-2019,98,98,2.47,31.0,1.54,65.0,490.22
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,02-01-2020,04-07-2019,02-01-2020,80,80,2.47,31.0,1.54,65.0,417.92
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,03-07-2020,03-01-2020,03-07-2020,121,121,2.47,31.0,1.54,65.0,582.41
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,02-01-2021,04-07-2020,02-01-2021,71,71,2.47,31.0,1.54,65.0,382.67
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,02-07-2018,01-01-2018,02-07-2018,99,99,2.47,31.0,1.54,65.0,496.4
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,01-01-2019,03-07-2018,01-01-2019,90,90,2.47,31.0,1.54,65.0,457.62
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,03-07-2019,02-01-2019,03-07-2019,119,119,2.47,31.0,1.54,65.0,575.92
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,02-01-2020,04-07-2019,02-01-2020,61,61,2.47,31.0,1.54,65.0,343.34
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,02-07-2018,01-01-2018,02-07-2018,126,130,2.47,31.0,1.54,65.0,601.3
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,01-01-2019,03-07-2018,01-01-2019,110,115,2.47,31.0,1.54,65.0,540.87
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,03-07-2019,02-01-2019,03-07-2019,124,124,2.47,31.0,1.54,65.0,594.72
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,02-01-2020,04-07-2019,02-01-2020,84,84,2.47,31.0,1.54,65.0,434.76
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,03-07-2020,03-01-2020,03-07-2020,106,106,2.47,31.0,1.54,65.0,523.91
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,02-07-2018,01-01-2018,02-07-2018,100,100,2.47,31.0,1.54,65.0,517.76
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,01-01-2019,03-07-2018,01-01-2019,99,99,2.47,31.0,1.54,65.0,495.64
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,03-07-2019,02-01-2019,03-07-2019,137,137,2.47,31.0,1.54,65.0,647.21
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,02-01-2020,04-07-2019,02-01-2020,119,119,2.47,31.0,1.54,65.0,576.36
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,03-07-2020,03-01-2020,03-07-2020,71,71,2.47,31.0,1.54,65.0,382.27
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,02-01-2021,04-07-2020,02-01-2021,104,104,2.47,31.0,1.54,65.0,516.85
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,02-07-2018,01-01-2018,02-07-2018,103,103,2.47,31.0,1.54,65.0,511.28
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,01-01-2019,03-07-2018,01-01-2019,84,84,2.47,31.0,1.54,65.0,435.69
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,03-07-2019,02-01-2019,03-07-2019,119,119,2.47,31.0,1.54,65.0,575.68
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,02-01-2020,04-07-2019,02-01-2020,99,99,2.47,31.0,1.54,65.0,494.59
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,03-07-2020,03-01-2020,03-07-2020,134,134,2.47,31.0,1.54,65.0,633.54
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,02-01-2021,04-07-2020,02-01-2021,131,131,2.47,31.0,1.54,65.0,624.92
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,04-07-2021,03-01-2021,04-07-2021,66,66,2.47,31.0,1.54,65.0,361.1
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,02-07-2018,01-01-2018,02-07-2018,129,129,2.47,31.0,1.54,65.0,616.38
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,01-01-2019,03-07-2018,01-01-2019,97,97,2.47,31.0,1.54,65.0,487.78
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,03-07-2019,02-01-2019,03-07-2019,129,129,2.47,31.0,1.54,65.0,616.74
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,02-01-2020,04-07-2019,02-01-2020,70,70,2.47,31.0,1.54,65.0,377.14
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,03-07-2020,03-01-2020,03-07-2020,112,112,2.47,31.0,1.54,65.0,548.21
"Flat 56L, Frank lock, Sharpfort, LA00 4WB",CUST0012,02-07-2018,01-01-2018,02-07-2018,111,111,2.47,31.0,1.54,65.0,541.11
"Flat 56L, Frank lock, Sharpfort, LA00 4WB",CUST0012,01-01-2019,03-07-2018,01-01-2019,90,90,2.47,31.0,1.54,65.0,458.18
"Flat 56L, Frank lock, Sharpfort, LA00 4WB",CUST0012,03-07-2019,02-01-2019,03-07-2019,76,76,2.47,31.0,1.54,65.0,401.32
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,02-07-2018,01-01-2018,02-07-2018,125,125,2.47,31.0,1.54,65.0,599.5
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,01-01-2019,03-07-2018,01-01-2019,134,134,2.47,31.0,1.54,65.0,644.76
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,03-07-2019,02-01-2019,03-07-2019,109,109,2.47,31.0,1.54,65.0,535.22
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,02-01-2020,04-07-2019,02-01-2020,125,125,2.47,31.0,1.54,65.0,598.61
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,03-07-2020,03-01-2020,03-07-2020,83,83,2.47,31.0,1.54,65.0,429.87
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,02-01-2021,04-07-2020,02-01-2021,70,70,2.47,31.0,1.54,65.0,379.95
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,04-07-2021,03-01-2021,04-07-2021,73,73,2.47,31.0,1.54,65.0,391.42
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,03-01-2022,05-07-2021,03-01-2022,129,129,2.47,31.0,1.54,65.0,616.22
"3 Lewis field, Harrismouth, N8T 4DG",CUST0014,02-07-2018,01-01-2018,02-07-2018,106,109,2.47,31.0,1.54,65.0,524.67
"3 Lewis field, Harrismouth, N8T 4DG",CUST0014,01-01-2019,03-07-2018,01-01-2019,105,105,2.47,31.0,1.54,65.0,519.7
"3 Lewis field, Harrismouth, N8T 4DG",CUST0014,03-07-2019,02-01-2019,03-07-2019,104,107,2.47,31.0,1.54,65.0,515.85
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,02-07-2018,01-01-2018,02-07-2018,122,124,2.47,31.0,1.54,65.0,585.7
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,01-01-2019,03-07-2018,01-01-2019,60,60,2.47,31.0,1.54,65.0,339.93
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,03-07-2019,02-01-2019,03-07-2019,99,99,2.47,31.0,1.54,65.0,494.35
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,02-01-2020,04-07-2019,02-01-2020,100,100,2.47,31.0,1.54,65.0,499.73
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,03-07-2020,03-01-2020,03-07-2020,91,91,2.47,31.0,1.54,65.0,464.2
"Flat 51, Tucker track, South Joel, N1 3WB",CUST0016,02-07-2018,01-01-2018,02-07-2018,72,75,2.47,31.0,1.54,65.0,385.84
"Flat 51, Tucker track, South Joel, N1 3WB",CUST0016,01-01-2019,03-07-2018,01-01-2019,67,67,2.47,31.0,1.54,65.0,366.84
"Flat 51, Tucker track, South Joel, N1 3WB",CUST0016,03-07-2019,02-01-2019,03-07-2019,74,74,2.47,31.0,1.54,65.0,395.91
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,02-07-2018,01-01-2018,02-07-2018,139,139,2.47,31.0,1.54,65.0,657.16
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,01-01-2019,03-07-2018,01-01-2019,109,109,2.47,31.0,1.54,65.0,544.87
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,03-07-2019,02-01-2019,03-07-2019,133,133,2.47,31.0,1.54,65.0,632.78
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,02-01-2020,04-07-2019,02-01-2020,97,97,2.47,31.0,1.54,65.0,486.05
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,03-07-2020,03-01-2020,03-07-2020,110,110,2.47,31.0,1.54,65.0,547.14
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,02-01-2021,04-07-2020,02-01-2021,111,111,2.47,31.0,1.54,65.0,544.36
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,04-07-2021,03-01-2021,04-07-2021,109,109,2.47,31.0,1.54,65.0,534.77
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,02-07-2018,01-01-2018,02-07-2018,98,98,2.47,31.0,1.54,65.0,499.99
"Flatt 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,01-01-2019,03-07-2018,01-01-2019,76,76,2.47,31.0,1.54,65.0,413.9
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,03-07-2019,02-01-2019,03-07-2019,139,139,2.47,31.0,1.54,65.0,653.75
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,02-01-2020,04-07-2019,02-01-2020,83,83,2.47,31.0,1.54,65.0,432.8
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,03-07-2020,03-01-2020,03-07-2020,92,92,2.47,31.0,1.54,65.0,465.56
"Flatt 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,02-01-2021,04-07-2020,02-01-2021,98,98,2.47,31.0,1.54,65.0,491.27
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,04-07-2021,03-01-2021,04-07-2021,130,130,2.47,31.0,1.54,65.0,621.19
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,03-01-2022,05-07-2021,03-01-2022,101,101,2.47,31.0,1.54,65.0,503.54
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,02-07-2018,01-01-2018,02-07-2018,114,114,2.47,31.0,1.54,65.0,554.86
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,01-01-2019,03-07-2018,01-01-2019,75,75,2.47,31.0,1.54,65.0,398.75
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,03-07-2019,02-01-2019,03-07-2019,109,109,2.47,31.0,1.54,65.0,536.98
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,02-01-2020,04-07-2019,02-01-2020,85,85,2.47,31.0,1.54,65.0,439.34
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,03-07-2020,03-01-2020,03-07-2020,131,131,2.47,31.0,1.54,65.0,623.11
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,02-01-2021,04-07-2020,02-01-2021,133,133,2.47,31.0,1.54,65.0,630.69
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,02-07-2018,01-01-2018,02-07-2018,134,134,2.47,31.0,1.54,65.0,635.67
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,01-01-2019,03-07-2018,01-01-2019,129,129,2.47,31.0,1.54,65.0,614.97
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,03-07-2019,02-01-2019,03-07-2019,77,77,2.47,31.0,1.54,65.0,407.66
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,02-01-2020,04-07-2019,02-01-2020,133,133,2.47,31.0,1.54,65.0,632.74
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,03-07-2020,03-01-2020,03-07-2020,126,126,2.47,31.0,1.54,65.0,601.34
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,02-01-2021,04-07-2020,02-01-2021,122,122,2.47,31.0,1.54,65.0,588.99
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,02-07-2018,01-01-2018,02-07-2018,112,112,2.47,31.0,1.54,65.0,548.61
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,01-01-2019,03-07-2018,01-01-2019,87,87,2.47,31.0,1.54,65.0,447.88
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,03-07-2019,02-01-2019,03-07-2019,68,68,2.47,31.0,1.54,65.0,370.04
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,02-01-2020,04-07-2019,02-01-2020,137,137,2.47,31.0,1.54,65.0,649.1
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,03-07-2020,03-01-2020,03-07-2020,71,71,2.47,31.0,1.54,65.0,383.24
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,02-01-2021,04-07-2020,02-01-2021,85,85,2.47,31.0,1.54,65.0,437.37
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,04-07-2021,03-01-2021,04-07-2021,114,114,2.47,31.0,1.54,65.0,554.46
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,02-07-2018,01-01-2018,02-07-2018,120,120,2.47,31.0,1.54,65.0,577.88
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,01-01-2019,03-07-2018,01-01-2019,73,73,2.47,31.0,1.54,65.0,391.14
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,03-07-2019,02-01-2019,03-07-2019,115,115,2.47,31.0,1.54,65.0,558.79
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,02-01-2020,04-07-2019,02-01-2020,87,87,2.47,31.0,1.54,65.0,445.19
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,03-07-2020,03-01-2020,03-07-2020,127,127,2.47,31.0,1.54,65.0,606.27
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,02-01-2021,04-07-2020,02-01-2021,102,102,2.47,31.0,1.54,65.0,505.86
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,04-07-2021,03-01-2021,04-07-2021,91,91,2.47,31.0,1.54,65.0,461.03
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,02-07-2018,01-01-2018,02-07-2018,78,78,2.47,31.0,1.54,65.0,421.77
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,01-01-2019,03-07-2018,01-01-2019,87,87,2.47,31.0,1.54,65.0,446.71
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,03-07-2019,02-01-2019,03-07-2019,99,99,2.47,31.0,1.54,65.0,496.08
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,02-01-2020,04-07-2019,02-01-2020,61,61,2.47,31.0,1.54,65.0,341.77
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,02-07-2018,01-01-2018,02-07-2018,113,113,2.47,31.0,1.54,65.0,552.7
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,01-01-2019,03-07-2018,01-01-2019,122,122,2.47,31.0,1.54,65.0,587.95
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,03-07-2019,02-01-2019,03-07-2019,63,63,2.47,31.0,1.54,65.0,349.63
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,02-01-2020,04-07-2019,02-01-2020,89,89,2.47,31.0,1.54,65.0,456.58
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,03-07-2020,03-01-2020,03-07-2020,81,81,2.47,31.0,1.54,65.0,424.38
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,02-07-2018,01-01-2018,02-07-2018,133,133,2.47,31.0,1.54,65.0,630.25
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,01-01-2019,03-07-2018,01-01-2019,107,107,2.47,31.0,1.54,65.0,526.27
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,03-07-2019,02-01-2019,03-07-2019,70,70,2.47,31.0,1.54,65.0,380.23
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,02-01-2020,04-07-2019,02-01-2020,76,76,2.47,31.0,1.54,65.0,403.01
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,03-07-2020,03-01-2020,03-07-2020,128,128,2.47,31.0,1.54,65.0,610.44
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,02-01-2021,04-07-2020,02-01-2021,128,128,2.47,31.0,1.54,65.0,610.68
"4 Knight tunnel, Griffithsview, NR31 6QW",CUST0026,02-07-2018,01-01-2018,02-07-2018,114,114,2.47,31.0,1.54,65.0,553.62
"4 Knight tunnel, Griffithsview, NR31 6QW",CUST0026,01-01-2019,03-07-2018,01-01-2019,121,121,2.47,31.0,1.54,65.0,584.78
"4 Knight tunnel, Griffithsview, NR31 6QW",CUST0026,03-07-2019,02-01-2019,03-07-2019,108,108,2.47,31.0,1.54,65.0,530.68
"Flatt 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,02-07-2018,01-01-2018,02-07-2018,76,76,2.47,31.0,1.54,65.0,404.17
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,01-01-2019,03-07-2018,01-01-2019,115,115,2.47,31.0,1.54,65.0,558.51
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,03-07-2019,02-01-2019,03-07-2019,63,63,2.47,31.0,1.54,65.0,348.67
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,02-01-2020,04-07-2019,02-01-2020,139,139,2.47,31.0,1.54,65.0,656.52
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,03-07-2020,03-01-2020,03-07-2020,71,71,2.47,31.0,1.54,65.0,384.68
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,02-01-2021,04-07-2020,02-01-2021,79,79,2.47,31.0,1.54,65.0,414.92
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,04-07-2021,03-01-2021,04-07-2021,139,139,2.47,31.0,1.54,65.0,665.02
"83 Lloyd summit, Richardsfort, S2J 0PE",CUST0028,02-07-2018,01-01-2018,02-07-2018,115,115,2.47,31.0,1.54,65.0,560.92
"83 Lloyd summit, Richardsfort, S2J 0PE",CUST0028,01-01-2019,03-07-2018,01-01-2019,135,135,2.47,31.0,1.54,65.0,640.44
"83 Lloyd summit, Richardsfort, S2J 0PE",CUST0028,03-07-2019,02-01-2019,03-07-2019,89,89,2.47,31.0,1.54,65.0,453.85
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,02-07-2018,01-01-2018,02-07-2018,138,139,2.47,31.0,1.54,65.0,650.1
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,01-01-2019,03-07-2018,01-01-2019,66,66,2.47,31.0,1.54,65.0,361.9
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,03-07-2019,02-01-2019,03-07-2019,115,115,2.47,31.0,1.54,65.0,560.88
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,02-01-2020,04-07-2019,02-01-2020,102,102,2.47,31.0,1.54,65.0,508.75
"0 Justin roads, Hannahborough, KA48 7RZ",CUST0030,02-07-2018,01-01-2018,02-07-2018,84,88,2.47,31.0,1.54,65.0,435.93
"0 Justin roads, Hannahborough, KA48 7RZ",CUST0030,01-01-2019,03-07-2018,01-01-2019,137,137,2.47,31.0,1.54,65.0,657.37
"0 Justin roads, Hannahborough, KA48 7RZ",CUST0030,03-07-2019,02-01-2019,03-07-2019,118,118,2.47,31.0,1.54,65.0,570.94
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,02-07-2018,01-01-2018,02-07-2018,86,86,2.47,31.0,1.54,65.0,442.02
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,01-01-2019,03-07-2018,01-01-2019,62,65,2.47,31.0,1.54,65.0,346.91
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,03-07-2019,02-01-2019,03-07-2019,61,61,2.47,31.0,1.54,65.0,341.37
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,02-01-2020,04-07-2019,02-01-2020,97,97,2.47,31.0,1.54,65.0,488.46
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,03-07-2020,03-01-2020,03-07-2020,120,120,2.47,31.0,1.54,65.0,577.48
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,02-01-2021,04-07-2020,02-01-2021,82,82,2.47,31.0,1.54,65.0,427.43
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,04-07-2021,03-01-2021,04-07-2021,64,64,2.47,31.0,1.54,65.0,354.69
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,03-01-2022,05-07-2021,03-01-2022,128,128,2.47,31.0,1.54,65.0,612.69
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,02-07-2018,01-01-2018,02-07-2018,63,63,2.47,31.0,1.54,65.0,352.44
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,01-01-2019,03-07-2018,01-01-2019,138,138,2.47,31.0,1.54,65.0,652.95
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,03-07-2019,02-01-2019,03-07-2019,106,106,2.47,31.0,1.54,65.0,522.42
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,02-01-2020,04-07-2019,02-01-2020,94,94,2.47,31.0,1.54,65.0,475.03
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,03-07-2020,03-01-2020,03-07-2020,112,112,2.47,31.0,1.54,65.0,545.16
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,02-01-2021,04-07-2020,02-01-2021,76,76,2.47,31.0,1.54,65.0,400.76
"Studio 61, Hollie landing, Smithside, DY6 3NF",CUST0033,02-07-2018,01-01-2018,02-07-2018,112,112,2.47,31.0,1.54,65.0,546.72
"Studio 61, Hollie landing, Smithside, DY6 3NF",CUST0033,01-01-2019,03-07-2018,01-01-2019,129,133,2.47,31.0,1.54,65.0,614.93
"Studio 61, Hollie landing, Smithside, DY6 3NF",CUST0033,03-07-2019,02-01-2019,03-07-2019,105,105,2.47,31.0,1.54,65.0,519.74
"Studio 61, Hollie landing, Smithside, DY6 3NF",CUST0033,02-01-2020,04-07-2019,02-01-2020,62,62,2.47,31.0,1.54,65.0,348.51
