address,account_number,bill_date,billing_period_start,billing_period_end,fresh_water_usage,waste_water_usage,fresh_water_rate,fresh_water_fixed_charge,waste_water_rate,waste_water_fixed_charge,latest_charges
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,02/07/2018,01/01/2018,02/07/2018,122.6,122.6,2.47,31.0,1.54,65.0,587.63
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,2019/01/01,03/07/2018,01/01/2019,97.58,97.58,2.47,31.0,1.54,65.0,487.3
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,03/07/2019,02/01/2019,03/07/2019,120.57,120.57,2.47,31.0,1.54,65.0,579.49
"425 Jackson inlet, North Anthonyburgh, HD5Y 5WT",CUST0005,02/01/2020,04/07/2019,02/01/2020,97.8,97.8,2.47,31.0,1.54,65.0,488.18
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,02/07/2018,01/01/2018,02/07/2018,111.79,111.79,2.47,31.0,1.54,65.0,544.28
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,01/01/2019,03/07/2018,01/01/2019,133.85,133.85,2.47,31.0,1.54,65.0,632.74
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,03/07/2019,02/01/2019,03/07/2019,98.31,98.31,2.47,31.0,1.54,65.0,490.22
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,02/01/2020,04/07/2019,02/01/2020,80.28,80.28,2.47,31.0,1.54,65.0,417.92
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,03/07/2020,03/01/2020,03/07/2020,121.3,121.3,2.47,31.0,1.54,65.0,582.41
"12 Denis isle, Anneshire, HS0W 4SX",CUST0006,02/01/2021,04/07/2020,02/01/2021,71.49,71.49,2.47,31.0,1.54,65.0,382.67
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,02/07/2018,01/01/2018,02/07/2018,99.85,99.85,2.47,31.0,1.54,65.0,496.4
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,2019/01/01,03/07/2018,01/01/2019,90.18,90.18,2.47,31.0,1.54,65.0,457.62
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,03/07/2019,02/01/2019,03/07/2019,119.68,119.68,2.47,31.0,1.54,65.0,575.92
"Studio 06g, Benjamin streets, West Norman, G6 4GW",CUST0007,02/01/2020,04/07/2019,02/01/2020,61.68,61.68,2.47,31.0,1.54,65.0,343.34
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,02/07/2018,01/01/2018,02/07/2018,126.01,130.07,2.47,31.0,1.54,65.0,601.3
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,01/01/2019,03/07/2018,01/01/2019,110.94,115.71,2.47,31.0,1.54,65.0,540.87
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,03/07/2019,02/01/2019,03/07/2019,124.37,124.37,2.47,31.0,1.54,65.0,594.72
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,02/01/2020,04/07/2019,02/01/2020,84.48,84.48,2.47,31.0,1.54,65.0,434.76
"Studio 73, Craig prairie, Mileston, G36 2ER",CUST0008,03/07/2020,03/01/2020,03/07/2020,106.71,106.71,2.47,31.0,1.54,65.0,523.91
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,02/07/2018,01/01/2018,02/07/2018,100.7,100.7,2.47,31.0,1.54,65.0,517.76
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,2019/01/01,03/07/2018,01/01/2019,99.66,99.66,2.47,31.0,1.54,65.0,495.64
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,03/07/2019,02/01/2019,03/07/2019,137.46,137.46,2.47,31.0,1.54,65.0,647.21
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,02/01/2020,04/07/2019,02/01/2020,119.79,119.79,2.47,31.0,1.54,65.0,576.36
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,03/07/2020,03/01/2020,03/07/2020,71.39,71.39,2.47,31.0,1.54,65.0,382.27
"083 Jones mission, North Maria, TD0H 3NF",CUST0009,02/01/2021,04/07/2020,02/01/2021,104.95,104.95,2.47,31.0,1.54,65.0,516.85
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,02/07/2018,01/01/2018,02/07/2018,103.56,103.56,2.47,31.0,1.54,65.0,511.28
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,01/01/2019,03/07/2018,01/01/2019,84.71,84.71,2.47,31.0,1.54,65.0,435.69
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,03/07/2019,02/01/2019,03/07/2019,119.62,119.62,2.47,31.0,1.54,65.0,575.68
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,02/01/2020,04/07/2019,02/01/2020,99.4,99.4,2.47,31.0,1.54,65.0,494.59
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,03/07/2020,03/01/2020,03/07/2020,134.05,134.05,2.47,31.0,1.54,65.0,633.54
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,02/01/2021,04/07/2020,02/01/2021,131.9,131.9,2.47,31.0,1.54,65.0,624.92
"Studio 58, Sara branch, Wardborough, KW13 4FE",CUST0010,04/07/2021,03/01/2021,04/07/2021,66.11,66.11,2.47,31.0,1.54,65.0,361.1
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,02/07/2018,01/01/2018,02/07/2018,129.77,129.77,2.47,31.0,1.54,65.0,616.38
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,01/01/2019,03/07/2018,01/01/2019,97.7,97.7,2.47,31.0,1.54,65.0,487.78
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,03/07/2019,02/01/2019,03/07/2019,129.86,129.86,2.47,31.0,1.54,65.0,616.74
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,02/01/2020,04/07/2019,02/01/2020,70.11,70.11,2.47,31.0,1.54,65.0,377.14
"Studio 11, Yates parkway, Dawsonshire, SY7 0HT",CUST0011,03/07/2020,03/01/2020,03/07/2020,112.77,112.77,2.47,31.0,1.54,65.0,548.21
"Flat 56L, Frank lock, Sharpfort, LA00 4WB",CUST0012,02/07/2018,01/01/2018,02/07/2018,111.0,111.0,2.47,31.0,1.54,65.0,541.11
"Flat 56L, Frank lock, Sharpfort, LA00 4WB",CUST0012,01/01/2019,03/07/2018,01/01/2019,90.32,90.32,2.47,31.0,1.54,65.0,458.18
"Flat 56L, Frank lock, Sharpfort, LA00 4WB",CUST0012,03/07/2019,02/01/2019,03/07/2019,76.14,76.14,2.47,31.0,1.54,65.0,401.32
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,02/07/2018,01/01/2018,02/07/2018,125.56,125.56,2.47,31.0,1.54,65.0,599.5
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,01/01/2019,03/07/2018,01/01/2019,134.58,134.58,2.47,31.0,1.54,65.0,644.76
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,03/07/2019,02/01/2019,03/07/2019,109.53,109.53,2.47,31.0,1.54,65.0,535.22
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,02/01/2020,04/07/2019,02/01/2020,125.34,125.34,2.47,31.0,1.54,65.0,598.61
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,03/07/2020,03/01/2020,03/07/2020,83.26,83.26,2.47,31.0,1.54,65.0,429.87
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,02/01/2021,04/07/2020,02/01/2021,70.81,70.81,2.47,31.0,1.54,65.0,379.95
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,04/07/2021,03/01/2021,04/07/2021,73.67,73.67,2.47,31.0,1.54,65.0,391.42
"2 Suzanne loop, Thompsonbury, SM4E 3XE",CUST0013,03/01/2022,05/07/2021,03/01/2022,129.73,129.73,2.47,31.0,1.54,65.0,616.22
"3 Lewis field, Harrismouth, N8T 4DG",CUST0014,02/07/2018,01/01/2018,02/07/2018,106.9,109.75916497340076,2.47,31.0,1.54,65.0,524.67
"3 Lewis field, Harrismouth, N8T 4DG",CUST0014,01/01/2019,03/07/2018,01/01/2019,105.66,105.66,2.47,31.0,1.54,65.0,519.7
"3 Lewis field, Harrismouth, N8T 4DG",CUST0014,03/07/2019,02/01/2019,03/07/2019,104.7,107.6462194358828,2.47,31.0,1.54,65.0,515.85
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,02/07/2018,01/01/2018,02/07/2018,122.12,124.05,2.47,31.0,1.54,65.0,585.7
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,01/01/2019,03/07/2018,01/01/2019,60.83,60.83,2.47,31.0,1.54,65.0,339.93
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,03/07/2019,02/01/2019,03/07/2019,99.34,99.34,2.47,31.0,1.54,65.0,494.35
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,02/01/2020,04/07/2019,02/01/2020,100.68,100.68,2.47,31.0,1.54,65.0,499.73
"Studio 56, Rita junction, South Jamie, SR4M 6UH",CUST0015,03/07/2020,03/01/2020,03/07/2020,91.82,91.82,2.47,31.0,1.54,65.0,464.2
"Flat 51, Tucker track, South Joel, N1 3WB",CUST0016,02/07/2018,01/01/2018,02/07/2018,72.28,75.31824976287368,2.47,31.0,1.54,65.0,385.84
"Flat 51, Tucker track, South Joel, N1 3WB",CUST0016,2019/01/01,03/07/2018,01/01/2019,67.54,67.54,2.47,31.0,1.54,65.0,366.84
"Flat 51, Tucker track, South Joel, N1 3WB",CUST0016,03/07/2019,02/01/2019,03/07/2019,74.79,74.79,2.47,31.0,1.54,65.0,395.91
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,02/07/2018,01/01/2018,02/07/2018,139.94,139.94,2.47,31.0,1.54,65.0,657.16
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,01/01/2019,03/07/2018,01/01/2019,109.44,109.44,2.47,31.0,1.54,65.0,544.87
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,03/07/2019,02/01/2019,03/07/2019,133.86,133.86,2.47,31.0,1.54,65.0,632.78
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,02/01/2020,04/07/2019,02/01/2020,97.27,97.27,2.47,31.0,1.54,65.0,486.05
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,03/07/2020,03/01/2020,03/07/2020,110.11,110.11,2.47,31.0,1.54,65.0,547.14
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,02/01/2021,04/07/2020,02/01/2021,111.81,111.81,2.47,31.0,1.54,65.0,544.36
"Flat 7, Barnes street, Dixonport, N33 4TL",CUST0017,04/07/2021,03/01/2021,04/07/2021,109.42,109.42,2.47,31.0,1.54,65.0,534.77
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,02/07/2018,01/01/2018,02/07/2018,98.46,98.46,2.47,31.0,1.54,65.0,499.99
"Flatt 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,01/01/2019,03/07/2018,01/01/2019,76.02,76.02,2.47,31.0,1.54,65.0,413.9
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,03/07/2019,02/01/2019,03/07/2019,139.09,139.09,2.47,31.0,1.54,65.0,653.75
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,02/01/2020,04/07/2019,02/01/2020,83.99,83.99,2.47,31.0,1.54,65.0,432.8
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,03/07/2020,03/01/2020,03/07/2020,92.16,92.16,2.47,31.0,1.54,65.0,465.56
"Flatt 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,02/01/2021,04/07/2020,02/01/2021,98.57,98.57,2.47,31.0,1.54,65.0,491.27
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,04/07/2021,03/01/2021,04/07/2021,130.97,130.97,2.47,31.0,1.54,65.0,621.19
"Flat 92D, Kelly mountain, South Brendatown, DN2 4XL",CUST0018,03/01/2022,05/07/2021,03/01/2022,101.63,101.63,2.47,31.0,1.54,65.0,503.54
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,02/07/2018,01/01/2018,02/07/2018,114.43,114.43,2.47,31.0,1.54,65.0,554.86
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,01/01/2019,03/07/2018,01/01/2019,75.5,75.5,2.47,31.0,1.54,65.0,398.75
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,03/07/2019,02/01/2019,03/07/2019,109.97,109.97,2.47,31.0,1.54,65.0,536.98
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,02/01/2020,04/07/2019,02/01/2020,85.62,85.62,2.47,31.0,1.54,65.0,439.34
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,03/07/2020,03/01/2020,03/07/2020,131.45,131.45,2.47,31.0,1.54,65.0,623.11
"08 Wong manors, Yvonneview, KT23 3AH",CUST0019,02/01/2021,04/07/2020,02/01/2021,133.34,133.34,2.47,31.0,1.54,65.0,630.69
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,02/07/2018,01/01/2018,02/07/2018,134.58,134.58,2.47,31.0,1.54,65.0,635.67
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,01/01/2019,03/07/2018,01/01/2019,129.42,129.42,2.47,31.0,1.54,65.0,614.97
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,03/07/2019,02/01/2019,03/07/2019,77.72,77.72,2.47,31.0,1.54,65.0,407.66
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,02/01/2020,04/07/2019,02/01/2020,133.85,133.85,2.47,31.0,1.54,65.0,632.74
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,03/07/2020,03/01/2020,03/07/2020,126.02,126.02,2.47,31.0,1.54,65.0,601.34
"517 Paula gateway, Willisside, PA9A 0RJ",CUST0020,02/01/2021,04/07/2020,02/01/2021,122.94,122.94,2.47,31.0,1.54,65.0,588.99
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,02/07/2018,01/01/2018,02/07/2018,112.87,112.87,2.47,31.0,1.54,65.0,548.61
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,01/01/2019,03/07/2018,01/01/2019,87.75,87.75,2.47,31.0,1.54,65.0,447.88
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,03/07/2019,02/01/2019,03/07/2019,68.34,68.34,2.47,31.0,1.54,65.0,370.04
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,02/01/2020,04/07/2019,02/01/2020,137.93,137.93,2.47,31.0,1.54,65.0,649.1
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,03/07/2020,03/01/2020,03/07/2020,71.63,71.63,2.47,31.0,1.54,65.0,383.24
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,02/01/2021,04/07/2020,02/01/2021,85.13,85.13,2.47,31.0,1.54,65.0,437.37
"Studio 9, Carol gateway, Lake Staceyport, FK8 8LT",CUST0021,04/07/2021,03/01/2021,04/07/2021,114.33,114.33,2.47,31.0,1.54,65.0,554.46
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,02/07/2018,01/01/2018,02/07/2018,120.17,120.17,2.47,31.0,1.54,65.0,577.88
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,01/01/2019,03/07/2018,01/01/2019,73.6,73.6,2.47,31.0,1.54,65.0,391.14
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,03/07/2019,02/01/2019,03/07/2019,115.41,115.41,2.47,31.0,1.54,65.0,558.79
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,02/01/2020,04/07/2019,02/01/2020,87.08,87.08,2.47,31.0,1.54,65.0,445.19
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,03/07/2020,03/01/2020,03/07/2020,127.25,127.25,2.47,31.0,1.54,65.0,606.27
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,02/01/2021,04/07/2020,02/01/2021,102.21,102.21,2.47,31.0,1.54,65.0,505.86
"Flat 14G, Sullivan lights, Cartwrightfurt, N4B 7DF",CUST0022,04/07/2021,03/01/2021,04/07/2021,91.03,91.03,2.47,31.0,1.54,65.0,461.03
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,02/07/2018,01/01/2018,02/07/2018,78.7,78.7,2.47,31.0,1.54,65.0,421.77
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,2019/01/01,03/07/2018,01/01/2019,87.46,87.46,2.47,31.0,1.54,65.0,446.71
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,03/07/2019,02/01/2019,03/07/2019,99.77,99.77,2.47,31.0,1.54,65.0,496.08
"Flat 29u, Ian brooks, Liambury, B48 5SG",CUST0023,02/01/2020,04/07/2019,02/01/2020,61.29,61.29,2.47,31.0,1.54,65.0,341.77
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,02/07/2018,01/01/2018,02/07/2018,113.89,113.89,2.47,31.0,1.54,65.0,552.7
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,01/01/2019,03/07/2018,01/01/2019,122.68,122.68,2.47,31.0,1.54,65.0,587.95
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,03/07/2019,02/01/2019,03/07/2019,63.25,63.25,2.47,31.0,1.54,65.0,349.63
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,02/01/2020,04/07/2019,02/01/2020,89.92,89.92,2.47,31.0,1.54,65.0,456.58
"2 Geoffrey knoll, Smithberg, WD5 5AA",CUST0024,03/07/2020,03/01/2020,03/07/2020,81.89,81.89,2.47,31.0,1.54,65.0,424.38
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,02/07/2018,01/01/2018,02/07/2018,133.23,133.23,2.47,31.0,1.54,65.0,630.25
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,01/01/2019,03/07/2018,01/01/2019,107.3,107.3,2.47,31.0,1.54,65.0,526.27
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,03/07/2019,02/01/2019,03/07/2019,70.88,70.88,2.47,31.0,1.54,65.0,380.23
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,02/01/2020,04/07/2019,02/01/2020,76.56,76.56,2.47,31.0,1.54,65.0,403.01
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,2020/03/07,03/01/2020,03/07/2020,128.29,128.29,2.47,31.0,1.54,65.0,610.44
"22 Mohamed pike, Burgessburgh, KA7B 9SR",CUST0025,02/01/2021,04/07/2020,02/01/2021,128.35,128.35,2.47,31.0,1.54,65.0,610.68
"4 Knight tunnel, Griffithsview, NR31 6QW",CUST0026,02/07/2018,01/01/2018,02/07/2018,114.12,114.12,2.47,31.0,1.54,65.0,553.62
"4 Knight tunnel, Griffithsview, NR31 6QW",CUST0026,01/01/2019,03/07/2018,01/01/2019,121.89,121.89,2.47,31.0,1.54,65.0,584.78
"4 Knight tunnel, Griffithsview, NR31 6QW",CUST0026,2019/03/07,02/01/2019,03/07/2019,108.4,108.4,2.47,31.0,1.54,65.0,530.68
"Flatt 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,02/07/2018,01/01/2018,02/07/2018,76.85,76.85,2.47,31.0,1.54,65.0,404.17
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,01/01/2019,03/07/2018,01/01/2019,115.34,115.34,2.47,31.0,1.54,65.0,558.51
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,03/07/2019,02/01/2019,03/07/2019,63.01,63.01,2.47,31.0,1.54,65.0,348.67
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,02/01/2020,04/07/2019,02/01/2020,139.78,139.78,2.47,31.0,1.54,65.0,656.52
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,03/07/2020,03/01/2020,03/07/2020,71.99,71.99,2.47,31.0,1.54,65.0,384.68
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,02/01/2021,04/07/2020,02/01/2021,79.53,79.53,2.47,31.0,1.54,65.0,414.92
"Flat 25b, Jones river, Hendersonmouth, DD0B 3ES",CUST0027,04/07/2021,03/01/2021,04/07/2021,139.57,139.57,2.47,31.0,1.54,65.0,665.02
"83 Lloyd summit, Richardsfort, S2J 0PE",CUST0028,02/07/2018,01/01/2018,02/07/2018,115.94,115.94,2.47,31.0,1.54,65.0,560.92
"83 Lloyd summit, Richardsfort, S2J 0PE",CUST0028,01/01/2019,03/07/2018,01/01/2019,135.77,135.77,2.47,31.0,1.54,65.0,640.44
"83 Lloyd summit, Richardsfort, S2J 0PE",CUST0028,03/07/2019,02/01/2019,03/07/2019,89.24,89.24,2.47,31.0,1.54,65.0,453.85
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,02/07/2018,01/01/2018,02/07/2018,138.18,139.66,2.47,31.0,1.54,65.0,650.1
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,01/01/2019,03/07/2018,01/01/2019,66.31,66.31,2.47,31.0,1.54,65.0,361.9
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,03/07/2019,02/01/2019,03/07/2019,115.93,115.93,2.47,31.0,1.54,65.0,560.88
"Studio 9, Dawn viaduct, Mossstad, G6T 5DS",CUST0029,02/01/2020,04/07/2019,02/01/2020,102.93,102.93,2.47,31.0,1.54,65.0,508.75
"0 Justin roads, Hannahborough, KA48 7RZ",CUST0030,02/07/2018,01/01/2018,02/07/2018,84.77,88.0,2.47,31.0,1.54,65.0,435.93
"0 Justin roads, Hannahborough, KA48 7RZ",CUST0030,01/01/2019,03/07/2018,01/01/2019,137.45,137.45,2.47,31.0,1.54,65.0,657.37
"0 Justin roads, Hannahborough, KA48 7RZ",CUST0030,03/07/2019,02/01/2019,03/07/2019,118.44,118.44,2.47,31.0,1.54,65.0,570.94
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,02/07/2018,01/01/2018,02/07/2018,86.29,86.29,2.47,31.0,1.54,65.0,442.02
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,01/01/2019,03/07/2018,01/01/2019,62.57,65.11,2.47,31.0,1.54,65.0,346.91
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,03/07/2019,02/01/2019,03/07/2019,61.19,61.19,2.47,31.0,1.54,65.0,341.37
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,02/01/2020,04/07/2019,02/01/2020,97.87,97.87,2.47,31.0,1.54,65.0,488.46
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,03/07/2020,03/01/2020,03/07/2020,120.07,120.07,2.47,31.0,1.54,65.0,577.48
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,02/01/2021,04/07/2020,02/01/2021,82.65,82.65,2.47,31.0,1.54,65.0,427.43
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,04/07/2021,03/01/2021,04/07/2021,64.51,64.51,2.47,31.0,1.54,65.0,354.69
"Flat 6, Lynn glen, Port Robertport, IM6N 5NQ",CUST0031,03/01/2022,05/07/2021,03/01/2022,128.85,128.85,2.47,31.0,1.54,65.0,612.69
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,02/07/2018,01/01/2018,02/07/2018,63.95,63.95,2.47,31.0,1.54,65.0,352.44
"Flat 4, Jacqueline trail, West Jacobfort, M96 5WA",CUST0032,01/01/2019,03/07/2018,01/01/2019,138.89,138.89,2.47,31.0,1.54,65.0,652.95
